date,rank,song,artist,last_week,peak_rank,weeks_on_board
2021-03-13,99,Gone,Dierks Bentley,99.0,99,210
1993-07-17,78,Break It Down Again,Tears For Fears,78.0,78,210
1985-09-14,49,Head Over Heels,Tears For Fears,49.0,49,210
2006-02-18,90,For You I Will (Confidence),Teddy Geiger,90.0,90,210
2015-11-28,94,Stand By You,Rachel Platten,91.0,94,210
1980-09-06,78,On The Road Again,Willie Nelson,78.0,78,210
1993-01-16,85,Rebirth Of Slick (Cool Like Dat),Digable Planets,85.0,85,210
2002-03-02,73,A New Day Has Come,Celine Dion,73.0,73,210
1997-03-29,7,All By Myself,Celine Dion,7.0,7,210
1981-03-21,65,Take It On The Run,REO Speedwagon,65.0,65,210
2011-10-01,95,Let It Rain,David Nail Featuring Sarah Buxton,95.0,95,210
2000-09-16,82,My Baby You,Marc Anthony,82.0,82,210
2017-04-22,88,First Day Out,Tee Grizzley,88.0,88,210
1998-02-28,1,My Heart Will Go On,Celine Dion,1.0,1,210
1991-11-16,79,Kiss You Back,Digital Underground,79.0,79,210
1992-08-01,98,Nothing Broken But My Heart,Celine Dion,98.0,98,210
1959-05-25,77,What A Diff'rence A Day Makes,Dinah Washington,77.0,77,210
2001-10-20,75,#1,Nelly,75.0,75,210
1992-02-01,87,We Got A Love Thang,CeCe Peniston,87.0,87,210
1990-01-27,86,Get Up! (Before The Night Is Over),Technotronic,86.0,86,210
2011-11-26,70,Home,Dierks Bentley,70.0,70,210
1992-02-29,95,You Think You Know Her,Cause And Effect,95.0,95,210
2009-10-17,91,I Wanna Make You Close Your Eyes,Dierks Bentley,91.0,91,210
1991-07-06,65,Too Many Walls,Cathy Dennis,65.0,65,210
1991-03-02,78,Touch Me (All Night Long),Cathy Dennis,78.0,78,210
2015-06-27,94,This Could Be Us,Rae Sremmurd,94.0,94,210
1995-10-14,90,Magic Carpet Ride,The Mighty Dub Katz,90.0,90,210
2003-06-28,75,It's Five O'Clock Somewhere,Alan Jackson & Jimmy Buffett,75.0,75,210
2009-04-18,90,Sideways,Dierks Bentley,90.0,90,210
1993-06-26,92,Creep,Radiohead,92.0,92,210
2016-02-13,98,Somewhere On A Beach,Dierks Bentley,100.0,98,210
2014-08-16,98,No Flex Zone,Rae Sremmurd,98.0,98,210
1972-07-08,83,Starting All Over Again,Mel And Tim,83.0,83,210
2003-06-21,90,What Was I Thinkin',Dierks Bentley,90.0,90,210
1994-01-01,81,I'm In The Mood,CeCe Peniston,81.0,81,210
2016-06-18,98,Different For Girls,Dierks Bentley Featuring Elle King,99.0,98,210
1999-06-05,69,Happily Ever After,Case,69.0,69,210
1996-02-17,32,I Want To Come Over,Melissa Etheridge,32.0,32,210
1993-05-22,98,Don't Take Away My Heaven,Aaron Neville,98.0,98,210
1995-02-18,25,Like The Way I Do/If I Wanted To,Melissa Etheridge,25.0,25,210
1997-07-19,91,I Say A Little Prayer,Diana King,91.0,91,210
2000-01-29,73,The Best Day,George Strait,73.0,73,210
2002-10-05,71,She'll Leave You With A Smile,George Strait,71.0,71,210
2001-10-27,70,Run,George Strait,70.0,70,210
2008-12-20,94,River Of Love,George Strait,94.0,94,210
2002-04-06,75,Living And Living Well,George Strait,75.0,75,210
2008-03-08,54,I Saw God Today,George Strait,54.0,54,210
2004-08-14,69,I Hate Everything,George Strait,69.0,69,210
2017-06-03,93,Felices Los 4,Maluma,93.0,93,210
2004-05-08,99,Whats Happnin!,Ying Yang Twins Featuring Trick Daddy,99.0,99,210
2007-09-22,97,How 'Bout Them Cowgirls,George Strait,97.0,97,210
2011-07-16,65,Here For A Good Time,George Strait,65.0,65,210
2000-08-26,71,Go On,George Strait,71.0,71,210
1986-03-01,71,West End Girls,Pet Shop Boys,71.0,71,210
2012-12-08,94,Give It All We Got Tonight,George Strait,94.0,94,210
2010-09-18,95,The Breath You Take,George Strait,95.0,95,210
1998-12-19,84,Unbelievable,Diamond Rio,84.0,84,210
2016-04-02,98,Light It Up,Major Lazer Featuring Nyla & Fuse ODG,98.0,98,210
2012-11-10,44,22,Taylor Swift,64.0,44,210
2003-03-22,69,I Believe,Diamond Rio,69.0,69,210
1991-11-30,85,On A Sunday Afternoon,Lighter Shade Of Brown,85.0,85,210
1978-04-22,82,Baker Street,Gerry Rafferty,82.0,82,210
1990-01-27,55,Love Will Lead You Back,Taylor Dayne,55.0,55,210
1992-02-15,88,Baby Hold On To Me,Gerald Levert (Duet With Eddie Levert),88.0,88,210
1994-08-06,81,I'd Give Anything,Gerald Levert,81.0,81,210
